"Accountable"	"getChildResources"	"Returns nested resources of this class. The result should be a point-in-time snapshot (to avoid race conditions)."
"Accountable"	"ramBytesUsed"	"Return the memory usage of this object in bytes. Negative values are illegal."
"Accountables"	"namedAccountables"	"Converts a map of resources to a collection. The resource descriptions are constructed in this format: prefix 'key' [toString()] This is a point-in-time type safe view: consumers will not be able to cast or manipulate the resources in any way."
"Accountables"	"toString"	"Returns a String description of an Accountable and any nested resources. This is intended for development and debugging."
"Accountables"	"namedAccountable"	"Returns an accountable with the provided description, children and bytes. The resource descriptions are constructed in this format: description [toString()] This is a point-in-time type safe view: consumers will not be able to cast or manipulate the resources in any way, provided that the passed in children Accountables (and all their descendants) were created with one of the namedAccountable functions."
"AfterEffect"	"score"	"Returns the aftereffect score."
"AfterEffect"	"AfterEffect"	"Sole constructor. (For invocation by subclass constructors, typically implicit.)"
"AfterEffect"	"explain"	"Returns an explanation for the score."
"AfterEffect"	"toString"	"Subclasses must override this method to return the code of the after effect formula. Refer to the original paper for the list."
"AfterEffect.NoAfterEffect"	"explain"	"Description copied from class:?AfterEffect Returns an explanation for the score."
"AfterEffect.NoAfterEffect"	"AfterEffect.NoAfterEffect"	"Sole constructor: parameter-free"
"AfterEffect.NoAfterEffect"	"toString"	"Description copied from class:?AfterEffect Subclasses must override this method to return the code of the after effect formula. Refer to the original paper for the list."
"AfterEffect.NoAfterEffect"	"score"	"Description copied from class:?AfterEffect Returns the aftereffect score."
"AfterEffectB"	"toString"	"Description copied from class:?AfterEffect Subclasses must override this method to return the code of the after effect formula. Refer to the original paper for the list."
"AfterEffectB"	"explain"	"Description copied from class:?AfterEffect Returns an explanation for the score."
"AfterEffectB"	"score"	"Description copied from class:?AfterEffect Returns the aftereffect score."
"AfterEffectB"	"AfterEffectB"	"Sole constructor: parameter-free"
"AfterEffectL"	"score"	"Description copied from class:?AfterEffect Returns the aftereffect score."
"AfterEffectL"	"explain"	"Description copied from class:?AfterEffect Returns an explanation for the score."
"AfterEffectL"	"toString"	"Description copied from class:?AfterEffect Subclasses must override this method to return the code of the after effect formula. Refer to the original paper for the list."
"AfterEffectL"	"AfterEffectL"	"Sole constructor: parameter-free"
"Analyzer"	"initReader"	"Override this if you want to add a CharFilter chain. The default implementation returns reader unchanged."
"Analyzer"	"createComponents"	"Creates a new Analyzer.TokenStreamComponents instance for this analyzer."
"Analyzer"	"setVersion"	"Set the version of Lucene this analyzer should mimic the behavior for for analysis."
"Analyzer"	"PER_FIELD_REUSE_STRATEGY"	"A predefined Analyzer.ReuseStrategy that reuses components per-field by maintaining a Map of TokenStreamComponent per field name."
"Analyzer"	"tokenStream"	"Returns a TokenStream suitable for fieldName, tokenizing the contents of text. This method uses createComponents(String) to obtain an instance of Analyzer.TokenStreamComponents. It returns the sink of the components and stores the components internally. Subsequent calls to this method will reuse the previously stored components after resetting them through Analyzer.TokenStreamComponents.setReader(Reader). NOTE: After calling this method, the consumer must follow the workflow described in TokenStream to properly consume its contents. See the Analysis package documentation for some examples demonstrating this."
"Analyzer"	"getPositionIncrementGap"	"Invoked before indexing a IndexableField instance if terms have already been added to that field. This allows custom analyzers to place an automatic position increment gap between IndexbleField instances using the same field name. The default value position increment gap is 0. With a 0 position increment gap and the typical default token position increment of 1, all terms in a field, including across IndexableField instances, are in successive positions, allowing exact PhraseQuery matches, for instance, across IndexableField instance boundaries."
"Analyzer"	"getReuseStrategy"	"Returns the used Analyzer.ReuseStrategy."
"Analyzer"	"getVersion"	"Return the version of Lucene this analyzer will mimic the behavior of for analysis."
"Analyzer"	"getOffsetGap"	"Just like getPositionIncrementGap(java.lang.String), except for Token offsets instead. By default this returns 1. This method is only called if the field produced at least one token for indexing."
"Analyzer"	"close"	"Frees persistent resources used by this Analyzer"
"Analyzer"	"Analyzer"	"Expert: create a new Analyzer with a custom Analyzer.ReuseStrategy. NOTE: if you just want to reuse on a per-field basis, it's easier to use a subclass of AnalyzerWrapper such as PerFieldAnalyerWrapper instead."
"Analyzer"	"GLOBAL_REUSE_STRATEGY"	"A predefined Analyzer.ReuseStrategy that reuses the same components for every field."
"Analyzer.ReuseStrategy"	"setReusableComponents"	"Stores the given TokenStreamComponents as the reusable components for the field with the give name."
"Analyzer.ReuseStrategy"	"Analyzer.ReuseStrategy"	"Sole constructor. (For invocation by subclass constructors, typically implicit.)"
"Analyzer.ReuseStrategy"	"getReusableComponents"	"Gets the reusable TokenStreamComponents for the field with the given name."
"Analyzer.ReuseStrategy"	"getStoredValue"	"Returns the currently stored value."
"Analyzer.ReuseStrategy"	"setStoredValue"	"Sets the stored value."
"Analyzer.TokenStreamComponents"	"sink"	"Sink tokenstream, such as the outer tokenfilter decorating the chain. This can be the source if there are no filters."
"Analyzer.TokenStreamComponents"	"source"	"Original source of the tokens."
"Analyzer.TokenStreamComponents"	"getTokenizer"	"Returns the component's Tokenizer"
"Analyzer.TokenStreamComponents"	"Analyzer.TokenStreamComponents"	"Creates a new Analyzer.TokenStreamComponents instance."
"Analyzer.TokenStreamComponents"	"getTokenStream"	"Returns the sink TokenStream"
"Analyzer.TokenStreamComponents"	"setReader"	"Resets the encapsulated components with the given reader. If the components cannot be reset, an Exception should be thrown."
"AnalyzerWrapper"	"getOffsetGap"	"Description copied from class:?Analyzer Just like Analyzer.getPositionIncrementGap(java.lang.String), except for Token offsets instead. By default this returns 1. This method is only called if the field produced at least one token for indexing."
"AnalyzerWrapper"	"initReader"	"Description copied from class:?Analyzer Override this if you want to add a CharFilter chain. The default implementation returns reader unchanged."
"AnalyzerWrapper"	"wrapComponents"	"Wraps / alters the given TokenStreamComponents, taken from the wrapped Analyzer, to form new components. It is through this method that new TokenFilters can be added by AnalyzerWrappers. By default, the given components are returned."
"AnalyzerWrapper"	"getWrappedAnalyzer"	"Retrieves the wrapped Analyzer appropriate for analyzing the field with the given name"
"AnalyzerWrapper"	"wrapReader"	"Wraps / alters the given Reader. Through this method AnalyzerWrappers can implement initReader(String, Reader). By default, the given reader is returned."
"AnalyzerWrapper"	"createComponents"	"Description copied from class:?Analyzer Creates a new Analyzer.TokenStreamComponents instance for this analyzer."
"AnalyzerWrapper"	"getPositionIncrementGap"	"Description copied from class:?Analyzer Invoked before indexing a IndexableField instance if terms have already been added to that field. This allows custom analyzers to place an automatic position increment gap between IndexbleField instances using the same field name. The default value position increment gap is 0. With a 0 position increment gap and the typical default token position increment of 1, all terms in a field, including across IndexableField instances, are in successive positions, allowing exact PhraseQuery matches, for instance, across IndexableField instance boundaries."
"AnalyzerWrapper"	"AnalyzerWrapper"	"Creates a new AnalyzerWrapper with the given reuse strategy. If you want to wrap a single delegate Analyzer you can probably reuse its strategy when instantiating this subclass: super(delegate.getReuseStrategy());. If you choose different analyzers per field, use Analyzer.PER_FIELD_REUSE_STRATEGY."
"ArrayUtil"	"timSort"	"Sorts the given array in natural order. This method uses the Tim sort algorithm, but falls back to binary sort for small arrays."
"ArrayUtil"	"parseInt"	"Parses the string argument as if it was an int value and returns the result. Throws NumberFormatException if the string does not represent an int quantity. The second argument specifies the radix to use when parsing the value."
"ArrayUtil"	"MAX_ARRAY_LENGTH"	"Maximum length for an array (Integer.MAX_VALUE - RamUsageEstimator.NUM_BYTES_ARRAY_HEADER)."
"ArrayUtil"	"oversize"	"Returns an array size >= minTargetSize, generally over-allocating exponentially to achieve amortized linear-time cost as the array grows. NOTE: this was originally borrowed from Python 2.4.2 listobject.c sources (attribution in LICENSE.txt), but has now been substantially changed based on discussions from java-dev thread with subject ""Dynamic array reallocation algorithms"", started on Jan 12 2010."
"ArrayUtil"	"swap"	"Swap values stored in slots i and j"
"ArrayUtil"	"naturalComparator"	"Get the natural Comparator for the provided object class."
"ArrayUtil"	"introSort"	"Sorts the given array in natural order. This method uses the intro sort algorithm, but falls back to insertion sort for small arrays."
"ArrayUtil"	"hashCode"	"Returns hash of bytes in range start (inclusive) to end (inclusive)"
"ArrayUtil"	"equals"	"See if two array slices are the same."
"AttributeFactory"	"getStaticImplementation"	"Returns an AttributeFactory returning an instance of the given clazz for the attributes it implements. The given clazz must have a public no-arg constructor. For all other attributes it calls the given delegate factory as fallback. This method can be used to prefer a specific AttributeImpl which combines multiple attributes over separate classes. Please save instances created by this method in a static final field, because on each call, this does reflection for creating a MethodHandle."
"AttributeFactory"	"createAttributeInstance"	"Returns an AttributeImpl for the supplied Attribute interface class."
"AttributeFactory"	"DEFAULT_ATTRIBUTE_FACTORY"	"This is the default factory that creates AttributeImpls using the class name of the supplied Attribute interface class by appending Impl to it."
"AttributeFactory.StaticImplementationAttributeFactory"	"AttributeFactory.StaticImplementationAttributeFactory"	"Expert: Creates an AttributeFactory returning clazz as instance for the attributes it implements and for all other attributes calls the given delegate factory."
"AttributeFactory.StaticImplementationAttributeFactory"	"createAttributeInstance"	"Description copied from class:?AttributeFactory Returns an AttributeImpl for the supplied Attribute interface class."
"AttributeFactory.StaticImplementationAttributeFactory"	"createInstance"	"Creates an instance of A."
"AttributeImpl"	"copyTo"	"Copies the values from this Attribute into the passed-in target attribute. The target implementation must support all the Attributes this implementation supports."
"AttributeImpl"	"clear"	"Clears the values in this AttributeImpl and resets it to its default value. If this implementation implements more than one Attribute interface it clears all."
"AttributeImpl"	"clone"	"In most cases the clone is, and should be, deep in order to be able to properly capture the state of all attributes."
"AttributeImpl"	"reflectAsString"	"This method returns the current attribute values as a string in the following format by calling the reflectWith(AttributeReflector) method: iff prependAttClass=true: ""AttributeClass#key=value,AttributeClass#key=value"" iff prependAttClass=false: ""key=value,key=value"""
